id,input,accuracy_pct,delta_pp,ci_lo,ci_hi
clean,Clean,87.4,,,
rerun,Re-run,86.0,-1.4,-4.4,1.2
Q1,Word/spacing edits,87.4,0.0,-2.1,2.1
Q2,Paraphrasing,86.7,-0.7,-3.4,2.9
Q3,Unrelated sentences,81.1,-6.3,-11.2,-0.9
T1,Unrelated state note,86.0,-1.4,-6.3,4.1
T2,Observer opinion,68.5,-18.9,-32.1,-6.4
T3,Opinion via analogy,77.6,-9.8,-18.2,-2.1
P1,Direct override,74.1,-13.3,-20.8,-6.8
P2,Authority impersonation,72.0,-15.4,-23.1,-10.0
P3,Fake validation note,74.1,-13.3,-20.2,-5.4
S1,Unrelated extra field,86.0,-1.4,-5.8,2.7
S2,Escaped field names,86.0,-1.4,-5.6,2.5
S3,Opinion in extra field,87.4,0.0,-2.1,2.3
